,singkatan,baku
1247,rnd,penelitian dan pengembangan
1248,buanyak,banyak
1249,pemanisnya,manis
1250,sugar nya,gula
1251,copyright,hak cipta
1252,copyright nya,hak cipta
1253,ughtea,wanita
1254,aselik,asli
1255,banyakin,banyak
1256,manual brew,buat manual
1257,brew,buatan
1258,repharse,ubah kata
1259,nggak,tidak
1260,lu,kamu
1261,perkarain,perkara
1262,think,pikir
1263,riding the wave,memanfaatkan ombak
1264,riding,mengendarai
1265,the wave,ombak
1266,wave,ombak
1267,dikasusin,kasus
1268,reach out,mencapai
1269,reach,mencapai
1270,out,keluar
1271,doa in,mendoakan
1272,mbok ya,kalau
1273,sampe,sampai
1274,dikicok,dikocok
1275,akhir nya,akhirnya
1276,benr,benar
1277,muaniss,manis
1278,nextnya,selanjutnya
1279,brani,berani
1280,orenfud,shopeefood
1281,go food,gofood
1282,dibekuin,dibekukan
1283,macthanya,matcha
1284,lessnya,lebih sedikit
1285,creamynya,lembut
1286,sopnya,standar operasional prosedur
1287,berasa,terasa
1288,thus,dengan demikian
1289,powder,bubuk
1290,icipin,icip
1291,voucher,voucer
1292,ituu,itu
1293,dibilangin,bilang
1294,storenya,toko
1295,big no,tidak
1296,big nomor,tidak
1297,durung,belum
1298,asline,aslinya
1299,dibikin,buat
1300,gakuat,tidak kuat
1301,deketan,dekat
1302,wondering,bertanya
1303,worry,khawatir
1304,dipakein,pakai
1305,semana,seberapa
1306,gadoyan,tidak suka
1307,too sweet,terlalu manis
1308,seriously,serius
1309,percumacukup,percuma cukup
1310,apus,hapus
1311,plss,tolong
1312,class,kelas
1313,lawsuit,gugatan
1314,gulebay,gula lebai
1315,bagik,bagi saya
1316,nggarai,membuat
1317,with this one,dengan yang satu ini
1318,mbak nya,mbak
1319,rv nya,red velvet
1320,mabisnya,manis
1321,besok nya,besoknya
1322,banana nya,pisang
1323,serial,varian
1324,oenderita,penderita
1325,estehsusu,es teh susu
1326,bpom,badan pengawas obat dan makanan
1327,ditaker,ditakar
1328,beut,banget
1329,mostly,sebagian besar
1330,sampek,sampai
1331,gmau,tidak mau
1332,anyingg,anjing
1333,kak,kakak
1334,bodoamat,tidak peduli
1335,meren,mungkin
1336,teamnya,tim
1337,hey,halo
1338,maap,maaf
1339,yaah,yah
1340,no purchase,tidak ada pembelian
1341,nomor purchase,tidak ada pembelian
1342,purchase,pembelian
1343,then,kemudian
1344,munculah,muncul
1345,aand,dan
1346,guess,tebak
1347,random,acak
1348,unjungnya,ujungnya
1349,legak,legal
1350,ngapain,kenapa
1351,dibarengin,dibarengi
1352,minimunny,minumannya
1353,zero,nol
1354,somasi nya,somasi
1355,ygy,ya teman ya
1356,respek,menghormati
1357,nyebut,menyebutkan
1358,tweetnya,tweet
1359,play,bermain
1360,gangotak,tidak pakai otak
1361,komplex,kompleks
1362,katain,kata
1363,dikata katain,dihina
1364,aduhh,aduh
1365,asyik,asik
1366,somasipantesan,somasi pantas
1367,cha,chatime
1368,karyawanny,karyawan
1369,ngeselin,kesal
1370,didenger,didengar
1371,awaa,awas
1372,abang nya,abang
1373,komplek,keluhan
1374,mon,mohon
1375,teamnnya,tim
1376,muaniis,manis
1377,ngetag,menandai
1378,twitt,tweet
1379,jadiny,jadinya
1380,power abuse,penyalahgunaan kekuasaan
1381,abuse,penyalahgunaan
1382,monggo,ayo
1383,langsunh,langsung
1384,nge evaluasi,evaluasi
1385,kedepanny,kedepannya
1386,audience,pendengar
1387,terkesan,kesan
1388,nga,tidak
1389,just be carefull,hati-hati saja
1390,just be,hanya
1391,carefull,hati-hati
1392,tidak ngotak,tidak pakai otak
1393,ngotak,pakai otak
1394,biarin,membiarkan
1395,rebranding,mengubah citra merek
1396,new,baru
1397,nahan,menahan
1398,chat,pesan
1399,wasap,whatsapp
1400,ngambekan,merajuk
1401,korup,korupsi
1402,brkata,berkata
1403,dm tipe,diabetes melitus tipe
1404,blok,goblok
1405,ngait in,mengaitkan
1406,dikata in,dihina
1407,mh,mah
1408,bomat,bodoh amat
1409,pelanggan ny,pelanggannya
1410,lh,lah
1411,bertindah,bertindak
1412,ngerri,ngeri
1413,gemes,gemas
1414,beet,banget
1415,loohh,loh
1416,die,dia
1417,laah,lah
1418,sok an,sok
1419,hiihijgn,jangan
1420,menegor,menegur
1421,pengin,ingin
1422,estehini,es teh ini
1423,mnrut,menurut
1424,ank,anak
1425,tbtb,tiba-tiba
1426,normalisasiin,menormalisasikan
1427,omongan,berbicara
1428,climate change dnier,menyangkal perubahan iklim
1429,climate,iklim
1430,change,mengubah
1431,denier,menyangkal
1432,fiks,fix
1433,s,es
1434,mmaksa,memaksa
1435,customernyq,pelanggannya
1436,harusny,harusnya
1437,dajjal,dajal
1438,digituin,gitu
1439,customer nya,pelanggannya
1440,jelasin,jelaskan
1441,sosoan,sok
1442,indon,indonesia
1443,nyantai,santai
1444,lebay,lebai
1445,dicobain,dicoba
1446,chizuredvlvt,chizu red velvet
1447,nenggiurkan,menggiurkan
1448,bukn,bukan
1449,d katai,dihina
1450,menormalisasikn,menormalisasikan
1451,d,di
1452,mentingin,mementingkan
1453,casually mocking,mengejek dengan santai
1454,mocking,mengejek
1455,casually,santai
1456,selangin,selangit
1457,cacad,cacat
1458,just an opinion,hanya pendapat
1459,just an,hanya
1460,marketnya,pasarnya
1461,direvie,diulas
1462,yha,yah
1463,meng somasi,somasi
1464,yaelah,yah
1465,lihatin,lihat
1466,etmin,admin
1467,sebagai nya,sebagainya
1468,pt nya,perseroan terbatas
1469,resikonya,risikonya
1470,awalnua,awalnya
1471,bhw,bahwa
1472,ngebela,membela
1473,harsh way,cara yang kasar
1474,harsh,kasar
1475,way,cara
1476,mrembet,merembet
1477,lagi gak,lagi tidak
1478,owner nya,pemiliknya
1479,interesting case,kasus yang menarik
1480,interesting,menarik
1481,case,kasus
1482,case study,studi kasus
1483,study,studi
1484,dianjgin,anjing
1485,extrim,ekstrem
1486,ditakedown,dihapus
1487,staf nya,staf
1488,nyedot,menyedot
1489,bo,huuu
1490,tqm,manajemen kualitas total
1491,ehrigho,erigo
1492,inimah,ini mah
1493,ngide,ide
1494,spv,supervisor
1495,temenmu,teman mu
1496,franchise nya,waralaba
1497,subyektif,subjektif
1498,yahh,yah
1499,bocil,anak kecil
1500,dibandinkan,dibandingkan
1501,maksa,memaksa
1502,abg,anak baru gede
1503,polisi nya,polisi
1504,pengacara nya,pengacara
1505,teriakin,teriak
1506,gegayaan,gaya
1507,shock,kaget
1508,kzl,kesal
1509,kami,kamu
1510,gosah,tidak usah
1511,sh,sarjana hukum
1512,maluin,memalukan
1513,donk,dong
1514,ngegas,gas
1515,hadeehh,hadeh
1516,dimention,disebutkan
1517,az,saja
1518,begok,bodoh
1519,elaah,elah
1520,kuatin,kuatkan
1521,thd,terhadap
1522,lihatin,melihat
1523,aph,apa
1524,ortunya,orang tua
1525,lurusin,meluruskan
1526,lurusinnya,meluruskan
1527,dirut,direktur utama
1528,fitnahan,fitnah
1529,elegan nya,elegan
1530,complimentary,gratis
1531,menepis,tepis
1532,nyeret,seret
1533,support,mendukung
1534,lemot,lambat
1535,gausa,tidak usah
1536,nanggepin nya,menanggapi
1537,merespon,respons
1538,sebenere,sebenarnya
1539,segede,sebesar
1540,sebaperan,terbawa perasaan
1541,naca,baca
1542,giungnya,giung
1543,spill,bongkar rahasia
1544,konsumen nya,konsumen
1545,masio,meskipun
1546,klpk,kelompok
1547,msl,massal
1548,benerin,membenarkan
1549,betingkah,tingkah
1550,dina,hina
1551,ter alat,alat
1552,et,es teh
1553,kemkes,kementerian kesehatan
1554,yabg,yang
1555,ke gni,seperti ini
1556,gni,begini
1557,tonk,tong
1558,kumpeni,perusahaan
1559,point out,menunjukkan
1560,bukan nya,bukan
1561,bgnt,banget
1562,dikatai,dihina
1563,lovers,penggemar
1564,oranv,orang tua
1565,udamah,sudah mah
1566,nguji,menguji
1567,ind,indonesia
1568,ngadepin,menghadapi
1569,ngelaporin,melaporkan
1570,langsubg,langsung
1571,dek,adik
1572,jajran,jajaran
1573,risk,risiko
1574,aggressive,agresif
1575,reviewer,pengulas
1576,nomor more buying products,tidak lagi beli produk
1577,products,produk
1578,buying,membeli
1579,guys,teman
1580,qrt,kutipan tweet
1581,buntungdapet,buntung dapat
1582,develop,mengembangkan
1583,new produk,produk baru
1584,nyusahin,menyusahkan
1585,marketing nya,pemasarannya
1586,dibilnag,bilang
1587,keculi,kecuali
1588,persaingn,persaingan
1589,aanya,adanya
1590,sensitive,sensitif
1591,cuekin,cuek
1592,kekanakan,kekanak
1593,down,turun
1594,prik,aneh
1595,muji,memuji
1596,cemen,lemah
1597,permenkes,peraturan menteri kesehatan
1598,realize,sadar
1599,whatsoever,apapun
1600,fnb,makanan dan minuman
1601,sounds,terdengar
1602,lmao,tertawa lepas
1603,anyway,bagaimanapun
1604,ditelan,telan
1605,nyerang,menyerang
1606,mayan,lumayan
1607,ketrigger,picu
1608,followersnya,pengikutnya
1609,serebu,seribu
1610,folowersnya,pengikutnya
1611,idk,saya tidah tahu
1612,ngeritik,mengkritik
1613,oya,iya
1614,ngincip,icip
1615,yatuhan,ya tuhan
1616,ever,pernah
1617,drink,minum
1618,pantesan,pantas
1619,complaint,keluhan
1620,dpikir,dipikir
1621,esteh nya,es teh
1622,karyawannya,karyawan
1623,minteh,admin teh
1624,jng,jangan
1625,perusahan,perusahaan
1626,ngasal,sembarangan
1627,ngedefense,membela
1628,marahin,memarahi
1629,nyeduh,menyeduh
1630,perasaan,rasa
1631,pack,bapak
1632,sd,sekolah dasar
1633,kakak nya,kakak
1634,nyebutnya,menyebutkan
1635,lwbay,lebay
1636,twt,tweet
1637,western,barat
1638,orang nya,orang
1639,produk ny,produknya
1640,tebh,teh
1641,asal an,asal
1642,ceplas ceplos,ceplas-ceplos
1643,legal e,legal
1644,internale,internal
1645,bg,abang
1646,ambe,sama
1647,jarene,katanya
1648,pr e,hubungan masyarakat
1649,somasi e,somasi
1650,wess,sudah
1651,sing,yang
1652,kemanisen,kemanisan
1653,malu in,memalukan
1654,masukan nya,masukannya
1655,pie,bagaimana
1656,addict,pecandu
1657,coffee dan tea addict,pecandu kopi dan teh
1658,buat nya,untuknya
1659,buat ku,untuk aku
1660,etdah,buset dah
1661,sensi,sensitif
1662,somse,sombong sekali
1663,oiya,iya
1664,rep,balasan
1665,nomor interest at all,tidak tertarik sama sekali
1666,no more interest at all,tidak tertarik sama sekali
1667,interest,tertarik
1668,at all,sama sekali
1669,nyamain,menyamakan
1670,professional,profesional
1671,naas,nahas
1672,untung nya,untungnya
1673,kritikan nya,kritikannya
1674,ruu,rancangan undang-undang
1675,power nya,kekuatannya
1676,trpenting,terpenting
1677,klau,kalau
1678,dikomplai,keluhan
1679,da,dan
1680,menjarain,memenjara
1681,hkum,hukum
1682,brand image,citra merek
1683,jngn,jangan
1684,repliesnya,balasannya
1685,cu,itu
1686,giung nya,giung
1687,memesan,pesan
1688,ingredients nya,bahan-bahan
1689,manggil,memanggil
1690,notice,melihat
1691,benerin,benar
1692,are kamu,apakah kamu
1693,are you,apakah kamu
1694,kidding,bercanda
1695,are you kidding me,apakah kamu bercanda
1696,gamaunya,tidak mau
1697,mengemonteri,komentar
1698,somasa,somasi
1699,terang an,terang
1700,berterima kasih,terima kasih
1701,ha,hah
1702,setiao,setiap
1703,skrang,sekarang
1704,nyahut,sahut
1705,kustomer,pelanggan
1706,customer care,layanan pelanggan
1707,retweet,tweet ulang
1708,cakep,cantik ganteng
1709,pesas,pantas
1710,segitu,sebegitu
1711,korut,korea utara
1712,survey,survei
1713,netes,menetas
1714,serah,terserah
1715,tuk,untuk
1716,nyudutin,menyudutkan
1717,komit,komitmen
1718,dinotice,dilihat
1719,merajok,merajuk
1720,mesti,pasti
1721,te,teh
1722,dianjingin,anjing
1723,diselesaiin,selesai
1724,up,naik
1725,concern,khawatir
1726,ketemu,bertemu
1727,ketemuan,bertemu
1728,tanggungjawab,tanggung jawab
1729,mosok,masa
1730,ekspersi,ekspresi
1731,say,katakan
1732,id,indonesia
1733,brandingnya,branding
1734,mleber,melebar
1735,estes,es teh
1736,kesalahan nya,kesalahannya
1737,sue,sial
1738,hoax,berita palsu
1739,miss informasi,salah informasi
1740,speech,pidato
1741,gakcuma,tidak cuma
1742,th,tahun
1743,blkg,belakangan
1744,adjust,menyesuaikan
1745,diblg,bilang
1746,ngluarin,mengeluarkan
1747,sblmny,sebelumnya
1748,gentle,ramah
1749,gentleman,pria
1750,enggak,tidak
1751,dicantumin,tercantum
1752,kg nya,kilogram
1753,bawain,membawakan
1754,plus,tambah
1755,gulaa,gula
1756,dahlah,sudah lah
1757,sirop,sirup
1758,ahh,ah
1759,bokin,pacar
1760,buseet,buset dah
1761,non,tanpa
1762,gslh,tidak salah
1763,of human,manusia
1764,eror of human,kesalahan manusia
1765,eror,kesalahan
1766,masnyaa,mas
1767,dasarnyaa,dasar
1768,gituu,begitu
1769,awak,saya
1770,lagu nya,lagak
1771,kompeni,perusahaan
1772,point nya,poin
1773,dimn,dimana
1774,shrsnya,seharusnya
1775,enjoy,menikmati
1776,nyebar,menyebar
1777,nyebar,sebar
1778,onoh,itu
1779,nglawan,melawan
1780,netyzen,netizen
1781,gatakut,tidak takut
1782,lagipula,lagi pula
1783,ngeshare,membagikan
1784,apasii,apa sih
1785,jdinya,jadinya
1786,alasanya,alasan
1787,bececeran,berceceran
1788,smart,pintar
1789,smart move,langkah pintar
1790,ngangkat,mengangkat
1791,ambassador,ambasador
1792,bgn,begini
1793,tadz,ustaz
1794,recipenya,resep
1795,cursed,terkutuk
1796,bapernya,terbawa perasaan
1797,ngesomasi,somasi
1798,tegor,tegur
1799,iya in,iya
1800,iyain,iya
1801,sc,sumber
1802,twt,twitter
1803,ajasi,saja sih
1804,tee,tea
1805,ndon,indonesia
1806,crm,pengelolaan hubungan dengan pelanggan
1807,bli,beli
1808,x y,kali ya
1809,limitless,tidak terbatas
1810,funds,dana
1811,treat,memperlakukan
1812,figure,tokoh
1813,publik figure,tokoh masyarakat
1814,limitless funds,dana tidak terbatas
1815,yasudahlah,ya sudah lah
1816,mngkritik,kritik
1817,pemerintaha,pemerintah
1818,dihh,dih
1819,berantakan,berantak
1820,gabut,tidak memiliki kegiatan
1821,jugaan,juga
1822,the beauty of,keindahan
1823,nerbitin,menerbitkan
1824,ngetik,mengetik
1825,draft,draf
1826,wordingnya,susunan kata
1827,blepotan,berantak
1828,self,sendiri
1829,evaluation,evaluasi
1830,self evaluation,evaluasi diri
1831,pertimbangan nya,pertimbangan
1832,food,makanan
1833,food base,base makanan
1834,gais,teman
1835,moga,semoga
1836,sono,sana
1837,waduu,waduh
1838,jelekkin,menjelekkan
1839,lha,lah
1840,yah,yang
1841,harga nya,harga
1842,masup,masuk
1843,je,ke
1844,dibrand,merek
1845,alesan,alasan
1846,la,lah
1847,smangat,semangat
1848,tunjukkin,menunjukkan
1849,disuruh,diminta
1850,delete,hapus
1851,ss,tangkapan layar
1852,share,membagikan
1853,nge blacklist,daftar hitam
1854,muluk,terus
1855,makany,maka
1856,bgitu,begitu
1857,bljr,belajar
1858,bhsa,bahasa
1859,dimanfaatin,dimanfaatkan
1860,ditweet,tweet
1861,influencer,pemberi pengaruh
1862,seleb,selebritas
1863,geming,gaming
1864,kocak geming,lucu
1865,sense,rasa
1866,humor sense,rasa humor
1867,komplainnya,keluhan
1868,nasehat,nasihat
1869,big,besar
1870,scroll,menggulir
1871,thats not,itu bukan
1872,not,bukan
1873,kutukan,kutuk
1874,hujaters,penghujat
1875,lain nya,lain
1876,ngehujat,menghujat
1877,kalen,kalem
1878,naeknya,naik
1879,bedain,membedakan
1880,diemin,diam
1881,ooihh,oh
1882,dikomen,komentar
1883,nyambung,sambung
1884,gmnasi,gimana sih
1885,dikurangin,kurang
1886,yaallah,ya allah
1887,akutuu,aku
1888,flaws,kekurangan
1889,kedaftar,terdaftar
1890,merknya,merek
1891,hasil nya,hasil
1892,sebalik nya,sebaliknya
1893,nyangkut,menyangkut
1894,didiskusiin,didiskusikan
1895,than,dari
1896,sett,buset
1897,jelekin,menjelekkan
1898,rd,penelitian dan pengembangan
1899,nangis,tangis
1900,temlen,lini masa
1901,nyangka,menyangka
1902,kejerat,terjerat
1903,takedown,dihapus
1904,imagenya,citra
1905,rules,aturan
1906,passl,pasal
1907,santuy,santai
1908,tackut,takut
1909,lari nya,lari
1910,gaje,tidak jelas
1911,spele,sepele
1912,kelagepan,gelagapan
1913,dibalikin,balik
1914,ngasal,sembarangan
1915,nge tweet,tweet
1916,udahlah,sudah lah
1917,ngutip,mengutip
1918,nyebutin,menyebutkan
1919,najong,najis
1920,salah nya,salahnya
1921,gimanapun,bagaimana
1922,taianj,tahi anjing
1923,pengertian nya,pengertian
1924,berekspresi,eskpresi
1925,learning,belajar
1926,ter somasi,somasi
1927,bisnis nya,bisnisnya
1928,ign,ingin
1929,financial,keuangan
1930,risknya,risiko
1931,black,hitam
1932,skg,sekarang
1933,tweets,tweet
1934,as critics,sebagai kritik
1935,tergesa gesa,tergesa-gesa
1936,dikasihanin,kasihan
1937,dinormalin,menormalisasikan
1938,tambahin,menambahkan
1939,adminnya,admin
1940,gemez nya,gemes
1941,imho,menurut pendapat saya
1942,campaign,kampanye
1943,konsumennya,konsumen
1944,draftnya,draf
1945,ngiklan,iklan
1946,essehindo,es teh indonesia
1947,criticnya,kritikannya
1948,ngebales,membalas
1949,dibales,dibalas
1950,ketauan,ketahuan
1951,yakalo,ya kalau
1952,darisitu,dari situ
1953,smh,geleng kepala
1954,kelihatan,terlihat
1955,perusahaan nya,perusahaan
1956,mature,dewasa
1957,hadeuh,hadeh
1958,disediain,sedia
1959,crew,kru
1960,semanis,manis
1961,ms,masa
1962,gabaku,tidak baku
1963,ngajarinnya,mengajari
1964,sambat,mengeluh
1965,bukanny,bukan
1966,consumernya,konsumen
1967,ngejual,menjual
1968,kenak,terkena
1969,s,sarjana
1970,ojo,jangan
1971,moves,langkah
1972,bad moves,langkah yang buruk
1973,embrace,merangkul
1974,bukannya,bukan
1975,diurusin,urus
1976,dirjen,direktur jenderal
1977,sepenuh nya,sepenuhnya
1978,bahasa nya,bahasa
1979,diframe,bingkai
1980,nyomasi,somasi
1981,njirr,anjir
1982,promote,promosi
1983,marketingnya,pemasarannya
1984,bgt,banget
1985,msing,masing
1986,trgantung,tergantung
1987,keluar nya,keluar
1988,leat,lihat
1989,sdm,sumber daya manusia
1990,ketakar,terlihat
1991,toi,tetapi
1992,ngungkapin,mengungkapkan
1993,reviewnya,ulasan
1994,gmood,tidak berminat
1995,bkin,buat
1996,produk nya,produk
1997,mnj,manajemen
1998,disappointed,kecewa
1999,disappointed with this move,kecewa dengan langkah ini
2000,solution,solusi
2001,say goodbye,mengatakan selamat tinggal
2002,to be honest,jujur
2003,untuk be jujur,jujur
2004,asuu,asu
2005,nonjok,tonjok
2006,reperensi,referensi
2007,nikmatin,nikmat
2008,outlet an,toko
2009,image nya,citra
2010,semena,wenang
2011,semena mena,sewenang-wenang
2012,ngirimin,kirim
2013,fast,cepat
2014,response,respons
2015,driven,didorong
2016,message,pesan
2017,digimar,pemasaran digital
2018,dibaikin,baik
2019,ngeriview,mengulas
2020,akuin,akui
2021,katrok,katro
2022,complainnya,keluhan
2023,mbh,mbah
2024,pait,pahit
2025,fly,terbang
2026,dibikinin,buat
2027,ape,apa
2028,wihh,wih
2029,goks,gokil
2030,nanggung,menanggung
2031,di lakukin,dilakukan
2032,untk,untuk
2033,gimn,bagaimana
2034,be wise,bijak
2035,leading the,memimpin
2036,wise,bijak
2037,frontliner nya,frontliner
2038,kakanya,kakak
2039,kann,kan
2040,error,eror
2041,diseriusin,serius
2042,bersbr,bersabar
2043,naikin,naik
2044,menu nya,menu
2045,belajarlah,belajar
2046,millenial,milenial
2047,orba,orde baru
2048,yaampun,ya ampun
2049,in conclusion,kesimpulannya
2050,lets just,mari
2051,true ,benar
2052,it was a,itu
2053,reply nya,balasan
2054,eti,es teh indonesia
2055,opportunity,peluang
2056,melokalisir,lokalisasi
2057,akh,ah
2058,marn,main
2059,maen,main
2060,raa,rasa
2061,screw you,dasar
2062,normalisasiin,normalisasi
2063,ngumpat,mengumpat
2064,ngesabotase,sabotase
2065,screw kamu,dasar
2066,msa,masa
2067,gnian,begini
2068,bknnya,bukan
2069,legalny,legal
2070,intern,magang
2071,korkom nya,koordinator komisariat
2072,nda,tidak
2073,baikla,baiklah
2074,elah,yah
2075,sajaa,saja
2076,soksokan,sok
2077,dicengin,ejek
2078,nawarin,menawarkan
2079,iyaa,iya
2080,sepowerful,kuat
2081,issuenya,isu
2082,memolai,memulai
2083,tim nya,tim
2084,snk ny,syarat dan ketentuan
2085,sistem ny,sistemnya
2086,opresif,absolut
2087,franchisenya,waralaba
2088,mengecek,cek
2089,jiaah,yah
2090,gabikin,tidak buat
2091,nihh,nih
2092,ngerembet,merembet
2093,fixed up,diperbaiki
2094,ati,hati-hati
2095,borutod,boruto
2096,ketimbang,timbang
2097,import,impor
2098,export,ekspor
2099,eksport,ekspor
2100,bngst,bangsat
2101,bapuk,usang
2102,boss,bos
2103,ancyur,hancur
2104,lapo,kenapa
2105,seng,yang
2106,ber etika,etika
2107,trainer,pelatih
2108,chuakks,chuaks
2109,anjrit,anjir
2110,dengerin,dengar
2111,invests,investasi
2112,on them,ke mereka
2113,feel,merasa
2114,pressed,ditekan
2115,kenapa do mereka feel,kenapa mereka merasa
2116,hu,wu
2117,get,mendapatkan
2118,the idea,ide
2119,of using,menggunakan
2120,capital,kapital
2121,everytime,setiap kali
2122,write,menulis
2123,niru,meniru
2124,using,menggunakan
2125,term,istilah
2126,donâ€™t,tidak
2127,nanggapi,menanggapi
2128,tntang,tentang
2129,pmasaran,pemasaran
2130,subjektifitas,subjektivitas
2131,de,deh
2132,lsg,langsung
2133,mentrigger,memicu
2134,diblg,dibilang
2135,bnran,benar
2136,kmanisan,kemanisan
2137,bknny,bukannya
2138,diprbaiki,diperbaiki
2139,chatme,chatime
2140,diksi,kasih
2141,prsen,persen
2142,noh,tuh
2143,fak,persetan
2144,brandz,merek
2145,gmana,bagaimana
2146,dicancel,batal
2147,semena mena,semena
2148,permasalahin,mempermasalahkan
2149,ngorek,korek
2150,effort,usaha
2151,estehnya,es teh
2152,mu,mau
2153,endonesia,indonesia
2154,followernya,pengikut
2155,impactnya,dampak
2156,large,besar
2157,jngankan,jangankan
2158,*memohon,memohon
2159,nyadar,sadar
2160,redvelvet nya,red velvet
2161,poor,buruk
2162,decision,keputusan
2163,isok,bisa
2164,pensi,pensiun
2165,tumbas,beli
2166,intropeksi,introspeksi
2167,jenama,ternama
2168,kocagg,kocak
2169,gublu,goblok
2170,der,blunder
2171,becandain,bercanda
2172,nunggu,tunggu
2173,nyusruk,jatuh
2174,attack,serangan
2175,brandingg,branding
2176,tehh,teh
2177,benernya,benar
2178,d kaui,diakui
2179,kaui,akui
2180,gulannya,gula
2181,sebentarx,sebentar
2182,ngajuin,mengajukan
2183,banyakk,banyak
2184,nganggep,menganggap
2185,ptnya,perseroan terbatas
2186,dikasarin,kasar
2187,milih,pilih
2188,taek,tahi
2189,saleslu,sales kamu
2190,produklu,produk kamu
2191,lain-lain nya,lain
2192,selamam,semalam
2193,gaenakk,tidak enak
2194,handlingnya,penanganan
2195,anehh,aneh
2196,freshgraduate,lulusan baru
2197,hrusnya,harusnya
2198,dikaish,kasih
2199,parahh,parah
2200,kelen,kalian
2201,bi,bahasa indonesia
2202,akm,asesmen kompetensi minimum
2203,cokk,cok
2204,sharusnya,seharusnya
2205,dripda,daripada
2206,congrat,selamat
2207,trash,sampah
2208,krng,kurang
2209,over lebay,terlalu lebai
2210,nuangin,menuangkan
2211,replyan,balasan
2212,nitizen,netizen
2213,kenain,kena
2214,komplain,keluhan
2215,remed,remedial
2216,dadaah,dadah
2217,just,hanya
2218,lost,hilang
2219,hrsny,harusnya
2220,diinjek,injak
2221,injek,injak
2222,tinggalin,meninggalkan
2223,dipermasalahin,masalah
2224,digging,menggali
2225,grave,kuburan
2226,own,sendiri
2227,digging their own grave,menggali kuburan mereka sendiri
2228,layangin,melayangkan
2229,jelek nya,jelek
2230,typikal,tipikal
2231,meng highlight,menyorot
2232,sung,langsung
2233,mengali,menggali
2234,approach nya,pendekatan
2235,approach,pendekatan
2236,standart,standar
2237,behavior,perilaku
2238,mengimprove,meningkatkan
2239,padhl,padahal
2240,cantumin,mencantumkan
2241,nutrition,gizi
2242,facts nya,fakta
2243,b aja,biasa saja
2244,by,dari
2245,bb,biasa
2246,tir,ketir
2247,insecure,tidak percaya diri
2248,ngerekomen,rekomendasi
2249,is the,adalah
2250,worst,terburuk
2251,pemanis,manis
2252,ajuin,mengajukan
2253,pure,murni
2254,diendorse,endorse
2255,twitternya,twitter
2256,modyar,mati
2257,d tiktok,di tiktok
2258,nyb,coba
2259,tgh,tengah
2260,blik,balik
2261,mnman,minuman
2262,sgking,karena sangat
2263,mnisny,manisnya
2264,prtes,protes
2265,akuu,aku
2266,shame,malu
2267,koment,komentar
2268,nyebelin,menyebalkan
2269,was,waswas
2270,ngikut,ikut
2271,pastes,pantas
2272,bikon,buat
2273,aur,berhamburan
2274,auran,berhamburan
2275,main nya,main
2276,kebebasam,kebebasan
2277,salahin,salah
2278,bb saja,biasa saja
2279,provider,penyedia
2280,jatohnya,jatuhnya
2281,hemm,hm
2282,kunsumen,konsumen
2283,revirw,ulasan
2284,et,buset
2285,ngadi,mengadu
2286,hiperbolik,hiperbolis
2287,bandingin,membandingkan
2288,bedain,beda
2289,negerespon,respons
2290,pasahal,padahal
2291,dibiarin,biar
2292,ngeh,sadar
2293,nomor,tidak
2294,my,saya
2295,lyfe,hidup
2296,family,keluarga
2297,kamu nya,kamu
2298,denied,menyangkal
2299,past,lampau
2300,tense,waktu
2301,prmohonan,permohonan
2302,are,adalah
2303,glad,senang
2304,that,bahwa
2305,recently,akhir-akhir ini
2306,frik,aneh
2307,twt,tweet
2308,ggr,gara-gara
2309,brapa,berapa
2310,bantahann,bantahan
2311,vaalid,valid
2312,psi,pepsi
2313,cuih,cih
2314,corporate,perusahaan
2315,nyusahein,menyusahkan
2316,section,bagian
2317,komplenan,keluhan
2318,emosyenel,emosional
2319,section nya,bagian
2320,seleranaja,selera saja
2321,under,dibawah
2322,redflag,bahaya
2323,critics,kritik
2324,solely,semata
2325,custnya,pelanggan
2326,income,pendapatan
2327,the critics,kritik
2328,the,itu
2329,ditandain,tanda
2330,cui,coy
2331,ngediemin,diam
2332,yuck,menjijikkan
2333,engagement,perjanjian
2334,yaqinlah,yakin lah
2335,forever,selamanya
2336,dijelasin,jelas
2337,tenggelem,tenggelam
2338,duh,aduh
2339,brarti,berarti
2340,sma,sama
2341,bkalan,bakalan
2342,miss leading,menyesatkan
2343,its,itu
2344,klen,kalian
2345,bertingkah,tingkah
2346,pro,profesional
2347,infographic,infografik
2348,ugc,buatan pengguna
2349,belebihan,berlebihan
2350,fail,gagal
2351,ngedraft,draf
2352,telor,telur
2353,taiin,tahi
2354,ngehandle,menangani
2355,dikencengin,kencang
2356,ngekritik,kritik
2357,itumah,itu mah
2358,meeting,pertemuan
2359,ruin,menghancurkan
2360,betol,betul
2361,direbetin,ribet
2362,kerad,keras
2363,dirubah,diubah
2364,komennya,komentar
2365,ngomentarinya,komentar
2366,despite,meskipun
2367,disumpahin,sumpah
2368,bola,berulang
2369,turning,berputar
2370,complaint,keluhan
2371,mndg,lebih baik
2372,sobat,sahabat
2373,ihh,ih
2374,jijique,jijik
2375,gass,ayo
2376,terlanjur,telanjur
2377,blaas,sama sekali
2378,stay,tetap
2379,atut,takut
2380,pen,ingin
2381,ngeteh,minum teh
2382,rekues,meminta
2383,disater,bencana
